"Offline.Central"	"Online.Central"	"Offline.North"	"Online.North"	"Offline.South"	"Online.South"
".NET WEB PROGRAMMING"	30	NA	NA	NA	NA	NA
"0-12 MONTHS, INFANTS"	NA	NA	NA	NA	18	NA
"12-24 MONS JUST WALKERS"	NA	NA	NA	NA	21	NA
"12-24 MONS ONEDAY TODDLR"	NA	NA	NA	NA	21	NA
"12-24 MONS ONEDAY TODLRS"	NA	NA	NA	NA	21	NA
"12-24 MONS, LINCOLN PARK"	NA	NA	NA	NA	18	NA
"1687O TO SOCIOLOGY"	35	NA	NA	NA	NA	NA
"1ST STEPS INT'L SEMINAR"	NA	NA	50	NA	NA	NA
"24-36 MONS ARBOR HEIGHTS"	NA	NA	NA	NA	16	NA
"24-36 MONS ARBORHEIGHTS2"	NA	NA	NA	NA	15	NA
"24-36 MONS, LINCOLN PARK"	NA	NA	NA	NA	18	NA
"24-36 MONTHS, ADM 2"	NA	NA	NA	NA	15	NA
"24-36 MONTHS, ADMIRAL 2"	NA	NA	NA	NA	18	NA
"24-36 MONTHS, ALKI 2"	NA	NA	NA	NA	18	NA
"24-36 MONTHS, SSCC 2"	NA	NA	NA	NA	18	NA
"2D & 3D ANIMATION"	25	NA	NA	NA	NA	NA
"2ND PARENT CHLDSTDY/LAB"	NA	NA	3.59016393442623	NA	NA	NA
"36-48 MONS ARBOR HEIGHTS"	NA	NA	NA	NA	18	NA
"36-48 MONS ARBORHEIGHTS3"	NA	NA	NA	NA	16	NA
"36-48 MONS LINCOLN PARK3"	NA	NA	NA	NA	18	NA
"36-48 MONTHS, ADMIRAL 3"	NA	NA	NA	NA	16.5	NA
"36-48 MONTHS, ALKI 3"	NA	NA	NA	NA	18	NA
"48-60 MONS ARBOR HEIGHTS"	NA	NA	NA	NA	18	NA
"48-60 MONS LINCOLNPARK 4"	NA	NA	NA	NA	15	NA
"48-60 MONTHS, ADMIRAL 4"	NA	NA	NA	NA	18	NA
"48-60 MONTHS, akli 4"	NA	NA	NA	NA	18	NA
"48-60 MONTHS, Akli 4"	NA	NA	NA	NA	18	NA
"4903ESL: IT FOR ESL"	20	NA	NA	NA	NA	NA
"99D. STUDY/INTERNSHIP"	25	NA	NA	NA	NA	NA
"ABE-COMPAS PREP"	29	NA	NA	NA	NA	NA
"ABE 2 COMM"	0	NA	NA	NA	NA	NA
"ABE 2 COMMUNICATIONS"	0	NA	NA	NA	NA	NA
"ABE 2 COMPUTER WRITING"	0	NA	NA	NA	NA	NA
"ABE 2 MATH"	9.66666666666667	NA	NA	NA	NA	NA
"ABE 2 MATH FOR ESL"	29	NA	NA	NA	NA	NA
"ABE 3"	0	NA	NA	NA	NA	NA
"ABE 3 COMM"	0	NA	NA	NA	NA	NA
"ABE 3 COMM SKILLS"	0	NA	NA	NA	NA	NA
"ABE 3 COMMUNICATIONS"	0	NA	NA	NA	NA	NA
"ABE 3 COMPUT COMM"	0	NA	NA	NA	NA	NA
"ABE 3 COMPUTER WRITING"	0	NA	NA	NA	NA	NA
"ABE 3 MATH"	10.3571428571429	NA	NA	NA	NA	NA
"ABE 3 MATH FOR ESL"	29	NA	NA	NA	NA	NA
"ABE 4"	0	NA	NA	NA	NA	NA
"ABE 4 COMM"	0	NA	NA	NA	NA	NA
"ABE 4 COMM SKILLS"	0	NA	NA	NA	NA	NA
"ABE 4 COMMUNICATIONS"	9.33333333333333	NA	NA	NA	NA	NA
"ABE 4 COMPASS"	7	NA	NA	NA	NA	NA
"ABE 4 COMPUT COMM"	0	NA	NA	NA	NA	NA
"ABE 4 COMPUTER WRITING"	0	NA	NA	NA	NA	NA
"ABE 4 MATH"	13	NA	NA	NA	NA	NA
"ABE 4 MATH FOR ESL"	29	NA	NA	NA	NA	NA
"ABE 5 COMP LAB"	0	NA	NA	NA	NA	NA
"ABE 5 COMPUTER"	0	NA	NA	NA	NA	NA
"ABE 5 COMPUTER WRITING"	0	NA	NA	NA	NA	NA
"ABE 6 COMM"	0	NA	NA	NA	NA	NA
"ABE 6 COMPASS"	17.2	NA	NA	NA	NA	NA
"ABE 6 COMPUTER"	0	NA	NA	NA	NA	NA
"ABE 6 COMPUTER LAB"	0	NA	NA	NA	NA	NA
"ABE 6 COMPUTER WRITING"	0	NA	NA	NA	NA	NA
"ABE 6 MATH"	17.2	NA	NA	NA	NA	NA
"ABE ADVANCED COMP.SKILLS"	NA	NA	25	NA	NA	NA
"ABE ADVANCED MATH"	NA	NA	28	NA	NA	NA
"ABE BASIC MATH"	NA	NA	NA	NA	30	NA
"ABE COLLEGE READINESS"	NA	NA	NA	NA	25	NA
"ABE COMM 4"	0	NA	NA	NA	NA	NA
"ABE COMM."	NA	NA	NA	NA	35	NA
"ABE COMM. VI"	NA	NA	NA	NA	26	NA
"ABE COMM.VI"	NA	NA	NA	NA	30	NA
"ABE ECE SUPPORT"	0	NA	NA	NA	NA	NA
"ABE IV MATH"	NA	NA	NA	NA	35	NA
"ABE LEVEL 2"	NA	NA	28	NA	NA	NA
"ABE LEVEL 2 MATH"	NA	NA	28	NA	NA	NA
"ABE LEVEL 3"	NA	NA	0	NA	NA	NA
