"Offline"	"Online"
".NET WEB PROGRAMMING"	30	NA
"0-12 MONTHS, INFANTS"	18	NA
"12-24 MONS JUST WALKERS"	21	NA
"12-24 MONS ONEDAY TODDLR"	21	NA
"12-24 MONS ONEDAY TODLRS"	21	NA
"12-24 MONS, LINCOLN PARK"	18	NA
"1687O TO SOCIOLOGY"	35	NA
"1ST STEPS INT'L SEMINAR"	50	NA
"24-36 MONS ARBOR HEIGHTS"	16	NA
"24-36 MONS ARBORHEIGHTS2"	15	NA
"24-36 MONS, LINCOLN PARK"	18	NA
"24-36 MONTHS, ADM 2"	15	NA
"24-36 MONTHS, ADMIRAL 2"	18	NA
"24-36 MONTHS, ALKI 2"	18	NA
"24-36 MONTHS, SSCC 2"	18	NA
"2D & 3D ANIMATION"	25	NA
"2ND PARENT CHLDSTDY/LAB"	3.59016393442623	NA
"36-48 MONS ARBOR HEIGHTS"	18	NA
"36-48 MONS ARBORHEIGHTS3"	16	NA
"36-48 MONS LINCOLN PARK3"	18	NA
"36-48 MONTHS, ADMIRAL 3"	16.5	NA
"36-48 MONTHS, ALKI 3"	18	NA
"48-60 MONS ARBOR HEIGHTS"	18	NA
"48-60 MONS LINCOLNPARK 4"	15	NA
"48-60 MONTHS, ADMIRAL 4"	18	NA
"48-60 MONTHS, akli 4"	18	NA
"48-60 MONTHS, Akli 4"	18	NA
"4903ESL: IT FOR ESL"	20	NA
"99D. STUDY/INTERNSHIP"	25	NA
"ABE-COMPAS PREP"	29	NA
"ABE 2 COMM"	0	NA
"ABE 2 COMMUNICATIONS"	0	NA
"ABE 2 COMPUTER WRITING"	0	NA
"ABE 2 MATH"	9.66666666666667	NA
"ABE 2 MATH FOR ESL"	29	NA
"ABE 3"	0	NA
"ABE 3 COMM"	0	NA
"ABE 3 COMM SKILLS"	0	NA
"ABE 3 COMMUNICATIONS"	0	NA
"ABE 3 COMPUT COMM"	0	NA
"ABE 3 COMPUTER WRITING"	0	NA
"ABE 3 MATH"	10.3571428571429	NA
"ABE 3 MATH FOR ESL"	29	NA
"ABE 4"	0	NA
"ABE 4 COMM"	0	NA
"ABE 4 COMM SKILLS"	0	NA
